Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=4 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_000018.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=4 | sur_steps=20 | eps=0.300
[TabPFN sync] reset | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.009 | gen_cycle_sec=4.095 | query_transform_sec=0.243 | batch_prepare_sec=0.269 | gpu_forward_sec=3.735 | postprocess_sec=0.044 | fallback_used=0 | fallback_reason=- | time_sec=4.085
[TabPFN sync] reset | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=4.057 | query_transform_sec=0.257 | batch_prepare_sec=0.287 | gpu_forward_sec=3.679 | postprocess_sec=0.035 | fallback_used=0 | fallback_reason=- | time_sec=4.015
[TabPFN sync] reset | gen=003/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.680 | query_transform_sec=0.242 | batch_prepare_sec=2.703 | gpu_forward_sec=0.887 | postprocess_sec=0.037 | fallback_used=0 | fallback_reason=- | time_sec=3.640
[TabPFN sync] reset | gen=004/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.047 | gen_cycle_sec=3.729 | query_transform_sec=0.278 | batch_prepare_sec=2.747 | gpu_forward_sec=0.886 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.681
[TabPFN sync] reset | gen=005/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.575 | query_transform_sec=0.242 | batch_prepare_sec=2.592 | gpu_forward_sec=0.894 | postprocess_sec=0.035 | fallback_used=0 | fallback_reason=- | time_sec=3.533
[TabPFN sync] reset | gen=006/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=3.784 | query_transform_sec=0.251 | batch_prepare_sec=2.796 | gpu_forward_sec=0.899 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.741
[TabPFN sync] reset | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=3.737 | query_transform_sec=0.281 | batch_prepare_sec=2.754 | gpu_forward_sec=0.891 | postprocess_sec=0.037 | fallback_used=0 | fallback_reason=- | time_sec=3.694
[TabPFN sync] reset | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=3.728 | query_transform_sec=0.244 | batch_prepare_sec=2.749 | gpu_forward_sec=0.898 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.690
[TabPFN sync] reset | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=3.741 | query_transform_sec=0.236 | batch_prepare_sec=2.782 | gpu_forward_sec=0.877 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.702
[TabPFN sync] reset | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=3.728 | query_transform_sec=0.239 | batch_prepare_sec=2.768 | gpu_forward_sec=0.877 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.688
[TabPFN sync] reset | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.773 | query_transform_sec=0.240 | batch_prepare_sec=2.781 | gpu_forward_sec=0.909 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.733
[TabPFN sync] reset | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.716 | query_transform_sec=0.237 | batch_prepare_sec=2.739 | gpu_forward_sec=0.888 | postprocess_sec=0.037 | fallback_used=0 | fallback_reason=- | time_sec=3.675
[TabPFN sync] reset | gen=013/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=3.757 | query_transform_sec=0.238 | batch_prepare_sec=2.759 | gpu_forward_sec=0.913 | postprocess_sec=0.035 | fallback_used=0 | fallback_reason=- | time_sec=3.719
[TabPFN sync] reset | gen=014/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=3.672 | query_transform_sec=0.236 | batch_prepare_sec=2.684 | gpu_forward_sec=0.906 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.634
[TabPFN sync] reset | gen=015/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.655 | query_transform_sec=0.242 | batch_prepare_sec=2.659 | gpu_forward_sec=0.911 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.615
[TabPFN sync] reset | gen=016/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.660 | query_transform_sec=0.238 | batch_prepare_sec=2.673 | gpu_forward_sec=0.902 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.620
[TabPFN sync] reset | gen=017/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.636 | query_transform_sec=0.243 | batch_prepare_sec=2.676 | gpu_forward_sec=0.873 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.595
[TabPFN sync] reset | gen=018/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=3.568 | query_transform_sec=0.237 | batch_prepare_sec=2.626 | gpu_forward_sec=0.858 | postprocess_sec=0.032 | fallback_used=0 | fallback_reason=- | time_sec=3.527
[TabPFN sync] reset | gen=019/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=3.686 | query_transform_sec=0.238 | batch_prepare_sec=2.702 | gpu_forward_sec=0.902 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.648
[TabPFN sync] reset | gen=020/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=3.675 | query_transform_sec=0.240 | batch_prepare_sec=2.671 | gpu_forward_sec=0.917 | postprocess_sec=0.035 | fallback_used=0 | fallback_reason=- | time_sec=3.635
[TabPFN sync] reset | sigma | mode=std | envs=24 | points=1517 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.231 | batch_prepare_sec=2.785 | gpu_forward_sec=0.921 | postprocess_sec=0.033 | fallback_used=0 | fallback_reason=- | time_sec=3.750
[DISC sync] step=001 | envs=24 | agent_forward_sec=0.382
[ENV sync] step=001 | envs=24 | surrogate_refit_sec=37.267 | tabpfn_refit_sec=37.267 | post_action_total_sec=37.753
[TabPFN sync] step=001 | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.017 | gen_cycle_sec=4.002 | query_transform_sec=0.285 | batch_prepare_sec=0.312 | gpu_forward_sec=3.626 | postprocess_sec=0.034 | fallback_used=0 | fallback_reason=- | time_sec=3.983
