Training config | heldout=DTLZ3 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | ensemble_model=8 | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=20 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=0.9900 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz3_set1_20260520_002931.txt
[Epoch 0001] start | set=1 | heldout=DTLZ3 | envs_active=24/24 | surrogate=tabpfn | ensemble_model=8 | sur_steps=20 | eps=0.300
[TabPFN sync] reset | gen=001/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.013 | gen_cycle_sec=2.845 | query_transform_sec=0.484 | batch_prepare_sec=0.539 | gpu_forward_sec=2.171 | postprocess_sec=0.079 | fallback_used=0 | fallback_reason=- | time_sec=2.830
[TabPFN sync] reset | gen=002/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.410 | query_transform_sec=0.489 | batch_prepare_sec=0.545 | gpu_forward_sec=1.735 | postprocess_sec=0.075 | fallback_used=0 | fallback_reason=- | time_sec=2.367
[TabPFN sync] reset | gen=003/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.377 | query_transform_sec=0.471 | batch_prepare_sec=0.515 | gpu_forward_sec=1.737 | postprocess_sec=0.071 | fallback_used=0 | fallback_reason=- | time_sec=2.335
[TabPFN sync] reset | gen=004/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.376 | query_transform_sec=0.477 | batch_prepare_sec=0.516 | gpu_forward_sec=1.741 | postprocess_sec=0.066 | fallback_used=0 | fallback_reason=- | time_sec=2.335
[TabPFN sync] reset | gen=005/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=2.363 | query_transform_sec=0.463 | batch_prepare_sec=0.506 | gpu_forward_sec=1.740 | postprocess_sec=0.064 | fallback_used=0 | fallback_reason=- | time_sec=2.323
[TabPFN sync] reset | gen=006/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.375 | query_transform_sec=0.457 | batch_prepare_sec=0.510 | gpu_forward_sec=1.737 | postprocess_sec=0.074 | fallback_used=0 | fallback_reason=- | time_sec=2.333
[TabPFN sync] reset | gen=007/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.401 | query_transform_sec=0.475 | batch_prepare_sec=0.530 | gpu_forward_sec=1.738 | postprocess_sec=0.079 | fallback_used=0 | fallback_reason=- | time_sec=2.359
[TabPFN sync] reset | gen=008/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.394 | query_transform_sec=0.471 | batch_prepare_sec=0.524 | gpu_forward_sec=1.741 | postprocess_sec=0.074 | fallback_used=0 | fallback_reason=- | time_sec=2.351
[TabPFN sync] reset | gen=009/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.436 | query_transform_sec=0.482 | batch_prepare_sec=0.552 | gpu_forward_sec=1.740 | postprocess_sec=0.090 | fallback_used=0 | fallback_reason=- | time_sec=2.394
[TabPFN sync] reset | gen=010/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.414 | query_transform_sec=0.468 | batch_prepare_sec=0.531 | gpu_forward_sec=1.738 | postprocess_sec=0.088 | fallback_used=0 | fallback_reason=- | time_sec=2.370
[TabPFN sync] reset | gen=011/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.425 | query_transform_sec=0.471 | batch_prepare_sec=0.545 | gpu_forward_sec=1.739 | postprocess_sec=0.087 | fallback_used=0 | fallback_reason=- | time_sec=2.384
[TabPFN sync] reset | gen=012/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=2.419 | query_transform_sec=0.485 | batch_prepare_sec=0.546 | gpu_forward_sec=1.742 | postprocess_sec=0.080 | fallback_used=0 | fallback_reason=- | time_sec=2.380
[TabPFN sync] reset | gen=013/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=2.413 | query_transform_sec=0.469 | batch_prepare_sec=0.543 | gpu_forward_sec=1.739 | postprocess_sec=0.075 | fallback_used=0 | fallback_reason=- | time_sec=2.370
[TabPFN sync] reset | gen=014/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.433 | query_transform_sec=0.483 | batch_prepare_sec=0.551 | gpu_forward_sec=1.738 | postprocess_sec=0.090 | fallback_used=0 | fallback_reason=- | time_sec=2.392
[TabPFN sync] reset | gen=015/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.439 | query_transform_sec=0.485 | batch_prepare_sec=0.556 | gpu_forward_sec=1.739 | postprocess_sec=0.089 | fallback_used=0 | fallback_reason=- | time_sec=2.397
[TabPFN sync] reset | gen=016/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=2.476 | query_transform_sec=0.468 | batch_prepare_sec=0.533 | gpu_forward_sec=1.805 | postprocess_sec=0.084 | fallback_used=0 | fallback_reason=- | time_sec=2.435
[TabPFN sync] reset | gen=017/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=2.660 | query_transform_sec=0.675 | batch_prepare_sec=0.727 | gpu_forward_sec=1.794 | postprocess_sec=0.082 | fallback_used=0 | fallback_reason=- | time_sec=2.616
[TabPFN sync] reset | gen=018/020 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=2.403 | query_transform_sec=0.475 | batch_prepare_sec=0.527 | gpu_forward_sec=1.746 | postprocess_sec=0.076 | fallback_used=0 | fallback_reason=- | time_sec=2.362
