Training config | heldout=DTLZ7 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=30 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz7_set1_20260518_170835.txt
[Epoch 0001] start | set=1 | heldout=DTLZ7 | envs_active=24/24 | surrogate=tabpfn | sur_steps=30 | eps=0.300
[TabPFN sync] reset | gen=001/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.013 | gen_cycle_sec=0.756 | query_transform_sec=0.000 | batch_prepare_sec=0.014 | gpu_forward_sec=0.686 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=0.741
[TabPFN sync] reset | gen=002/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.290 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.250
[TabPFN sync] reset | gen=003/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.288 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.249
[TabPFN sync] reset | gen=004/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.288 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.249
[TabPFN sync] reset | gen=005/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.290 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.249
[TabPFN sync] reset | gen=006/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.290 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.250
[TabPFN sync] reset | gen=007/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.291 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.232 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.249
[TabPFN sync] reset | gen=008/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.291 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.249
[TabPFN sync] reset | gen=009/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.291 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.250
[TabPFN sync] reset | gen=010/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.291 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.250
[TabPFN sync] reset | gen=011/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.289 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.233 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.249
