Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=10 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260516_134517.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=10 | eps=0.300
[TabPFN sync] reset | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.998
[TabPFN sync] reset | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.718
[TabPFN sync] reset | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.048
[TabPFN sync] reset | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.990
[TabPFN sync] reset | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=14.494
[TabPFN sync] reset | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.594
[TabPFN sync] reset | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.656
[TabPFN sync] reset | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=18.404
[TabPFN sync] reset | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=15.408
[TabPFN sync] reset | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.203
[TabPFN sync] reset | sigma | mode=std | envs=24 | points=1597 | dim=25 | objective_contexts=66 | time_sec=14.643
[TabPFN sync] step=001 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.651
[TabPFN sync] step=001 | gen=002/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.643
[TabPFN sync] step=001 | gen=003/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.621
[TabPFN sync] step=001 | gen=004/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.992
[TabPFN sync] step=001 | gen=005/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.410
[TabPFN sync] step=001 | gen=006/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.454
[TabPFN sync] step=001 | gen=007/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=13.397
[TabPFN sync] step=001 | gen=008/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.040
[TabPFN sync] step=001 | gen=009/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=16.281
[TabPFN sync] step=001 | gen=010/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=12.637
[TabPFN sync] step=001 | sigma | mode=std | envs=24 | points=1576 | dim=25 | objective_contexts=66 | time_sec=13.178
[TabPFN sync] step=002 | gen=001/010 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | time_sec=17.624
