Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=2 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_152033.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=2 | eps=0.300
[TabPFN sync] reset | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.015 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.570 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=0.618
[TabPFN sync] reset | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.111 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.129
[TabPFN sync] reset | sigma | mode=std | envs=24 | points=307 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.093 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.116
[TabPFN sync] step=001 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.012 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.712 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.738
[TabPFN sync] step=001 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.038 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.582 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.610
[TabPFN sync] step=001 | sigma | mode=std | envs=24 | points=296 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.110 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.133
[TabPFN sync] step=002 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.013 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.695 | postprocess_sec=0.022 | fallback_used=0 | fallback_reason=- | time_sec=0.729
[TabPFN sync] step=002 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.563 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.583
[TabPFN sync] step=002 | sigma | mode=std | envs=24 | points=229 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.091 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.111
[TabPFN sync] step=003 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.012 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.835 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.859
[TabPFN sync] step=003 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.592 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.614
[TabPFN sync] step=003 | sigma | mode=std | envs=24 | points=217 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.109 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.129
[TabPFN sync] step=004 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.012 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.751 | postprocess_sec=0.023 | fallback_used=0 | fallback_reason=- | time_sec=0.788
[TabPFN sync] step=004 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.574 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.595
[TabPFN sync] step=004 | sigma | mode=std | envs=24 | points=207 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.107 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.127
[TabPFN sync] step=005 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.012 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.700 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.725
[TabPFN sync] step=005 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.043 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.564 | postprocess_sec=0.019 | fallback_used=0 | fallback_reason=- | time_sec=0.592
[TabPFN sync] step=005 | sigma | mode=std | envs=24 | points=207 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.098 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.117
[TabPFN sync] step=006 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.646 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.679
[TabPFN sync] step=006 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.599 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.622
[TabPFN sync] step=006 | sigma | mode=std | envs=24 | points=192 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.108 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.132
