Training config | heldout=ZDT1 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=5 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_zdt1_set1_20260518_164809.txt
[Epoch 0001] start | set=1 | heldout=ZDT1 | envs_active=24/24 | surrogate=tabpfn | sur_steps=5 | eps=0.300
[TabPFN sync] reset | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.018 | gen_cycle_sec=0.708 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.630 | postprocess_sec=0.019 | fallback_used=0 | fallback_reason=- | time_sec=0.688
[TabPFN sync] reset | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.303 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.243 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.262
[TabPFN sync] reset | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.039 | gen_cycle_sec=0.303 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.245 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] reset | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.036 | gen_cycle_sec=0.300 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.244 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] reset | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.305 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.243 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.264
[TabPFN sync] reset | sigma | mode=std | envs=24 | points=652 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.227 | postprocess_sec=0.015 | fallback_used=0 | fallback_reason=- | time_sec=0.250
[TabPFN sync] step=001 | gen=001/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.017 | gen_cycle_sec=0.529 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.489 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.511
[TabPFN sync] step=001 | gen=002/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.040 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.245 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=001 | gen=003/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.041 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.245 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=001 | gen=004/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.038 | gen_cycle_sec=0.303 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.246 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=001 | gen=005/005 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=66 | candidate_wait_sec=0.042 | gen_cycle_sec=0.306 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.245 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.263
